상호명,도로명주소,상권업종중분류명,경도,위도,e음카드
등촌샤브칼국수,인천광역시 서구 청라커낼로260번길 7-19,한식,126.646599974585,37.5326360591327,
옛날손칼국수,인천광역시 미추홀구 낙섬중로 112,한식,126.641994210838,37.4570461125973,
다채원,인천광역시 서구 북항로32번안길 50,한식,126.647725054209,37.5099162401243,
어죽이네철렵국,인천광역시 서구 심곡로 82-1,한식,126.678861406667,37.5418643013291,
왕돈까스,인천광역시 미추홀구 인하로91번길 6,서양식,126.658590553346,37.4511125243653,
용내천,인천광역시 강화군 양도면 강화남로1002번길 45,한식,126.423438831144,37.6847794665674,
이차도#술,인천광역시 서구 서곶로301번길 16,한식,126.674899760489,37.5447726872194,
유케야,인천광역시 남동구 서창남로 35,한식,126.750611249355,37.4228434696857,
남경,인천광역시 미추홀구 소성로 72,중식,126.657566588665,37.4451719072302,
짬뽕회관,인천광역시 부평구 주부토로 70,중식,126.725561254984,37.5012118128664,
놀부,인천광역시 부평구 부평문화로 186,한식,126.736897494971,37.4934799602435,
스시토미,인천광역시 부평구 안남로 261,일식,126.708577998549,37.506252791023,
자매식당,인천광역시 서구 율도로 18,한식,126.66418783145,37.5135952215493,
소문난뼈감자탕민물매운탕,인천광역시 부평구 열우물로 58,한식,126.700182456248,37.4732099665803,
별빛고을,인천광역시 강화군 교동면 교동남로 2,한식,126.278861857336,37.7829355906691,
꼬치랑꼬꼬랑,인천광역시 부평구 장제로160번길 36,한식,126.732726094666,37.4994802939999,
김가네,인천광역시 동구 방축로83번길 23,한식,126.654796465778,37.4848261851048,
남도향,인천광역시 연수구 앵고개로83번길 41,한식,126.65366536466,37.413832333231,
골목집,인천광역시 연수구 인천타워대로54번길 15-5,한식,126.646021801002,37.3794088516474,
삼산장어마을,인천광역시 부평구 체육관로 14,한식,126.733090212694,37.5083830265918,
금강산포차,인천광역시 미추홀구 경인로435번길 14,한식,126.688824552513,37.4587284357933,
고집132,인천광역시 연수구 송도과학로16번길 13-18,한식,126.660805459709,37.3810199520279,
송현동일미순대국,인천광역시 계양구 임학서로 25,한식,126.732518023405,37.5451064709896,
우리밀,인천광역시 부평구 부흥로 342,한식,126.729531240587,37.4979413161777,
소문난전라도맛집,인천광역시 미추홀구 독배로 415-1,한식,126.649647449008,37.4567266661237,
춘천식당,인천광역시 남동구 석산로62번길 11,한식,126.699023852959,37.4604847891293,
제주까망돼지주안북부역점,인천광역시 미추홀구 염창로 68,한식,126.68135958906,37.4652768940924,
미사옥,인천광역시 연수구 컨벤시아대로230번길 54,한식,126.634029534122,37.389004241911,
만나식당,인천광역시 남동구 경인로 607,한식,126.705119768357,37.4653205537352,
콩쥐네생선구이,인천광역시 부평구 열우물로 56-1,한식,126.700273254194,37.4731200962335,
류해열매운갈비찜,인천광역시 계양구 오조산로57번길 15,한식,126.736861522511,37.5359440759236,
365;봄,인천광역시 중구 신포로31번길 23,한식,126.624218542761,37.4722449657518,
불쭈꾸야,인천광역시 계양구 계산새로87번길 5,한식,126.737576542503,37.538540541147,
생명나무평강삼계탕,인천광역시 남동구 호구포로 734,한식,126.718761287906,37.4477570837273,
성우족발,인천광역시 서구 서달로163번길 1,한식,126.678475921574,37.5130493289449,
굿모닝베트남,인천광역시 남동구 구월로372번길 14-4,동남아시아,126.731790516271,37.4543377194877,
웰빙,인천광역시 옹진군 영흥면 영흥로 109-12,한식,126.496926486546,37.2543019224497,
굿맘할매순대국,인천광역시 부평구 광장로 32-1,한식,126.724614924238,37.4909832151774,
대흥호,인천광역시 강화군 양도면 해안서로 555,한식,126.398824877578,37.6807824081001,
옹기종기왕갈비,인천광역시 부평구 부평문화로130번길 48,한식,126.730944234296,37.4917996933854,
